순,이름,연도,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR2,WPA
233,이민호,23L, -0.20 , 5 , 0 , 0 , 5 , 0 , 2 , 0 , 0 , 19.2 , 13 , 11 , 91 , 22 , 4 , 0 , 1 , 10 , 0 , 0 , 7 , 0 , 0 , 5.03 , 4.92 , 1.63 , 81.1 , 83.4 , -0.20 , -0.43 
234,한현희,23롯, -0.21 , 38 , 0 , 0 , 18 , 6 , 12 , 0 , 3 , 104.0 , 69 , 63 , 476 , 123 , 20 , 4 , 11 , 44 , 1 , 11 , 74 , 0 , 6 , 5.45 , 4.95 , 1.61 , 76.3 , 82.5 , -0.21 , -1.78 
235,이원재,23두, -0.21 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 1.0 , 3 , 3 , 9 , 3 , 1 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 27.00 , 12.44 , 6.00 , 15.1 , 33.3 , -0.21 , -0.31 
236,최성훈,23L, -0.22 , 5 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 3.0 , 5 , 5 , 17 , 7 , 2 , 0 , 0 , 1 , 0 , 0 , 2 , 0 , 0 , 15.00 , 3.11 , 2.67 , 27.2 , 133.6 , -0.22 , 0.05 
237,양현,23키, -0.22 , 54 , 0 , 0 , 0 , 0 , 4 , 0 , 8 , 57.0 , 38 , 32 , 262 , 83 , 9 , 2 , 5 , 21 , 1 , 0 , 16 , 1 , 0 , 5.05 , 5.07 , 1.83 , 81.3 , 80.4 , -0.22 , -1.25 
238,정구범,23N, -0.23 , 4 , 0 , 0 , 2 , 0 , 1 , 0 , 0 , 12.2 , 11 , 11 , 64 , 16 , 3 , 0 , 3 , 12 , 0 , 0 , 6 , 0 , 0 , 7.82 , 8.42 , 2.21 , 53.3 , 50.2 , -0.23 , -0.26 
239,임준섭,23S, -0.24 , 41 , 0 , 0 , 0 , 0 , 2 , 0 , 3 , 32.2 , 25 , 21 , 155 , 44 , 6 , 0 , 1 , 19 , 1 , 1 , 26 , 0 , 2 , 5.79 , 3.99 , 1.93 , 72.3 , 104.9 , -0.24 , -0.04 
240,박윤철,23한, -0.25 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3.1 , 8 , 8 , 20 , 5 , 2 , 0 , 2 , 5 , 0 , 0 , 1 , 0 , 1 , 21.60 , 15.14 , 3.00 , 19.2 , 27.5 , -0.25 , -0.00 
241,이형범,23두, -0.25 , 23 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 27.2 , 23 , 20 , 134 , 40 , 10 , 0 , 2 , 12 , 0 , 3 , 13 , 0 , 2 , 6.51 , 5.07 , 1.88 , 62.6 , 80.0 , -0.25 , -0.32 
242,허윤동,23삼, -0.25 , 7 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 10.2 , 12 , 12 , 60 , 16 , 7 , 0 , 0 , 12 , 0 , 0 , 8 , 0 , 0 , 10.13 , 5.32 , 2.63 , 41.8 , 77.5 , -0.25 , -0.44 
