이름,WAR,game,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷출루,피사구,피고의사구,피삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wOBA,wRC+,WAR2,WPA,Position,Player,Salary
이원석,1.12,88,335,288,31,77,13,0,10,120,60,0,0,33,5,2,70,7,3,6, .267 , .346 , .417 , .763 , .345 , 110.2 ,1.12,1.31,Batter,이원석,30000.0
황대인,1.08,129,524,476,40,122,27,0,14,191,91,0,0,36,7,2,92,20,0,5, .256 , .315 , .401 , .716 , .327 , 100.0 ,1.08,-1.18,Batter,황대인,6500.0
전의산,1.0,77,266,241,36,60,15,1,13,116,45,0,0,24,0,3,84,6,0,1, .249 , .316 , .481 , .797 , .353 , 114.0 ,1.0,0.2,Batter,전의산,3000.0
김태연,0.95,119,464,404,46,97,18,0,7,136,53,3,2,48,5,1,106,9,3,4, .240 , .325 , .337 , .662 , .310 , 89.1 ,0.95,-1.45,Batter,김태연,5600.0
오윤석,0.84,111,337,286,23,67,13,0,6,98,37,2,1,34,6,0,69,9,5,6, .234 , .322 , .343 , .665 , .308 , 86.1 ,0.84,0.26,Batter,오윤석,9000.0
김민혁,0.79,38,97,88,11,25,2,0,5,42,16,0,0,7,2,0,25,6,0,0, .284 , .351 , .477 , .828 , .377 , 142.7 ,0.79,0.11,Batter,김민혁,3200.0
김민혁,0.79,38,97,88,11,25,2,0,5,42,16,0,0,7,2,0,25,6,0,0, .284 , .351 , .477 , .828 , .377 , 142.7 ,0.79,0.11,Batter,김민혁,9000.0
김민식,0.76,104,266,222,30,49,9,1,2,66,28,0,0,32,2,1,45,4,7,3, .221 , .321 , .297 , .618 , .288 , 73.5 ,0.76,-0.99,Batter,김민식,9500.0
김인환,0.73,113,429,398,48,104,14,0,16,166,54,2,0,24,3,2,111,4,0,4, .261 , .305 , .417 , .722 , .327 , 100.3 ,0.73,-1.43,Batter,김인환,3200.0
김도영,0.72,103,254,224,37,53,11,4,3,81,19,13,3,22,3,0,62,3,4,1, .237 , .312 , .362 , .674 , .309 , 88.1 ,0.72,-0.53,Batter,김도영,3000.0
